CustomerKey,FirstName,MiddleName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,Region,City,State-Province
11019,Luke,L,Lal,7/3/1982,S,M,luke18@adventure-works.com,40000,West,Langley,British Columbia
11020,Jordan,C,King,20/9/1982,S,M,jordan73@adventure-works.com,40000,East,Metchosin,British Columbia
11021,Destiny,NULL,Wilson,3/9/1982,S,F,destiny7@adventure-works.com,40000,East,Beaverton,Oregon
11022,Ethan,G,Zhang,12/10/1982,M,M,ethan20@adventure-works.com,40000,South,Bellingham,Washington
11023,Seth,M,Edwards,11/10/1982,M,M,seth46@adventure-works.com,40000,West,Bellflower,California
11024,Russell,NULL,Xie,17/9/1982,M,M,russell7@adventure-works.com,60000,Central,Concord,California
11025,Alejandro,NULL,Beck,23/12/1949,M,M,alejandro45@adventure-works.com,10000,East,Hawthorne,Queensland
11026,Harold,NULL,Sai,3/4/1950,S,M,harold3@adventure-works.com,30000,South,Goulburn,New South Wales
11027,Jessie,R,Zhao,7/12/1950,M,M,jessie16@adventure-works.com,30000,West,Warrnambool,Victoria
11028,Jill,NULL,+,11/4/1950,M,F,jill13@adventure-works.com,30000,East,St. Leonards,New South Wales
11029,Jimmy,L,Moreno,21/12/1950,M,M,jimmy9@adventure-works.com,30000,East,Bendigo,Victoria
11030,Bethany,G,#N/A,22/2/1951,M,F,bethany10@adventure-works.com,10000,South,Cloverdale,South Australia
11031,Theresa,G,Janet,22/8/1951,M,F,theresa13@adventure-works.com,20000,West,Matraville,New South Wales
11032,Denise,NULL,#,11/6/1951,M,F,denise10@adventure-works.com,20000,South,Melbourne,Victoria
11033,Jaime,NULL,Rob,23/9/1951,M,#N/A,jaime41@adventure-works.com,20000,East,Milsons Point,New South Wales
11034,Ebony,NULL,#N/A,19/6/1951,M,F,ebony19@adventure-works.com,20000,South,North Sydney,New South Wales
11035,Wendy,NULL,Dominguez,24/2/1952,M,F,wendy12@adventure-works.com,10000,West,Cranbourne,Victoria
11036,Jennifer,C,Russell,18/12/1982,M,F,jennifer93@adventure-works.com,60000,East,National City,California
11037,Chloe,M,Garcia,27/11/1981,S,F,#N/A,40000,East,Cliffside,British Columbia
11038,Diana,F,Hernandez,23/3/1952,M,F,diana2@adventure-works.com,10000,South,Lavender Bay,New South Wales
11039,Marc,J,Martin,17/12/1952,M,M,marc3@adventure-works.com,30000,West,Wollongong,New South Wales
11040,Jesse,NULL,Murphy,1/8/1981,M,M,jesse15@adventure-works.com,30000,South,Tacoma,Washington
11041,Amanda,M,Carter,16/10/1981,M,F,amanda53@adventure-works.com,60000,East,Glendale,California
11042,Megan,J,Sanchez,13/6/1981,M,F,megan28@adventure-works.com,70000,South,Los Angeles,California
11043,Nathan,M,Simmons,24/2/1980,M,M,nathan11@adventure-works.com,60000,West,Glendale,California
11044,Adam,L,Flores,24/5/1953,M,M,adam10@adventure-works.com,20000,East,Hervey Bay,Queensland
11045,Leonard,G,Nara,19/5/1954,S,M,leonard18@adventure-works.com,30000,East,Matraville,New South Wales
11046,Christine,NULL,Yuan,22/3/1954,M,F,christine4@adventure-works.com,30000,South,Lavender Bay,New South Wales
11047,Jaclyn,D,Lu,27/2/1954,M,F,jaclyn12@adventure-works.com,30000,West,Geelong,Victoria
11048,Jeremy,NULL,Powell,22/11/1954,M,M,jeremy26@adventure-works.com,30000,South,Sunbury,Victoria
11049,Carol,C,Rai,18/7/1984,S,F,carol8@adventure-works.com,40000,East,Chula Vista,California
11050,Alan,NULL,Zheng,7/9/1955,M,M,alan23@adventure-works.com,30000,South,Hobart,Tasmania
11051,Daniel,NULL,Johnson,4/8/1955,S,M,daniel18@adventure-works.com,30000,West,Caloundra,Queensland
11052,Heidi,NULL,Lopez,7/8/1955,S,F,heidi19@adventure-works.com,40000,East,Matraville,New South Wales
11053,Ana,E,Price,20/8/1984,M,F,ana0@adventure-works.com,60000,East,San Diego,California
11054,Deanna,NULL,Munoz,10/3/1956,M,F,deanna33@adventure-works.com,40000,South,Geelong,Victoria
11055,Gilbert,NULL,Raje,5/3/1956,M,M,gilbert35@adventure-works.com,40000,West,East Brisbane,Queensland
11056,Michele,L,Nath,3/4/1957,M,F,michele19@adventure-works.com,40000,South,Newcastle,New South Wales
11057,Carl,J,Andersen,12/10/1957,M,M,carl12@adventure-works.com,70000,East,Lane Cove,New South Wales
11058,Marc,NULL,Diaz,27/4/1958,M,M,marc6@adventure-works.com,80000,South,Findon,South Australia
11059,Ashlee,J,Andersen,1/4/1958,S,F,ashlee19@adventure-works.com,80000,West,Townsville,Queensland
11060,Jon,L,Zhou,17/3/1958,M,M,jon28@adventure-works.com,80000,East,Warrnambool,Victoria
11061,Todd,M,Gao,27/2/1958,M,M,todd14@adventure-works.com,80000,East,Gold Coast,Queensland
11062,Noah,D,Powell,2/9/1979,M,M,noah5@adventure-works.com,40000,South,Portland,Oregon
11063,Angela,NULL,Murphy,7/4/1979,S,F,angela41@adventure-works.com,40000,West,Redmond,Washington
11064,Chase,NULL,Reed,7/12/1979,M,M,chase21@adventure-works.com,40000,South,Downey,California
11065,Jessica,NULL,Henderson,9/10/1977,M,F,jessica29@adventure-works.com,60000,East,La Jolla,California
11066,Grace,T,Butler,27/11/1977,M,F,grace62@adventure-works.com,70000,South,Lebanon,Oregon
11067,Caleb,F,Carter,25/9/1980,S,M,caleb40@adventure-works.com,60000,West,Port Orchard,Washington
11068,Tiffany,NULL,Liang,23/9/1959,S,F,tiffany17@adventure-works.com,80000,East,Warrnambool,Victoria
11069,Carolyn,NULL,Navarro,21/9/1959,S,F,carolyn30@adventure-works.com,80000,East,Gold Coast,Queensland
11070,Willie,T,Raji,5/4/1959,M,M,willie40@adventure-works.com,80000,South,Sunbury,Victoria
11071,Linda,NULL,Serrano,26/6/1959,S,F,linda31@adventure-works.com,80000,West,Hawthorne,Queensland
11072,Casey,NULL,Luo,6/2/1959,S,F,casey6@adventure-works.com,80000,South,St. Leonards,New South Wales
11073,Amy,NULL,Ye,14/8/1960,S,F,amy16@adventure-works.com,70000,East,Springwood,New South Wales
11074,Levi,A,Arun,28/8/1960,S,M,levi6@adventure-works.com,70000,South,Cloverdale,South Australia
11075,Felicia,L,Jimenez,16/11/1961,S,F,felicia4@adventure-works.com,80000,West,Bendigo,Victoria
11076,Blake,NULL,Anderson,13/7/1961,S,M,blake9@adventure-works.com,80000,East,Wollongong,New South Wales
11077,Leah,NULL,Ye,19/9/1961,S,F,leah7@adventure-works.com,80000,East,Melton,Victoria
11078,Gina,E,Martin,10/1/1978,S,F,gina1@adventure-works.com,40000,South,Cliffside,British Columbia
11079,Donald,NULL,Gonzalez,11/3/1963,S,M,donald20@adventure-works.com,160000,West,Geelong,Victoria
11080,Damien,NULL,Chander,17/7/1963,M,M,damien32@adventure-works.com,170000,South,Perth,South Australia
11081,Savannah,C,Baker,24/7/1970,M,F,savannah39@adventure-works.com,120000,East,Concord,California
11082,Angela,L,Butler,4/8/1970,S,F,angela17@adventure-works.com,130000,South,Fremont,California
11083,Alyssa,F,Cox,15/3/1970,M,F,alyssa37@adventure-works.com,130000,West,Lincoln Acres,California
11084,Lucas,NULL,Phillips,12/9/1961,S,M,lucas7@adventure-works.com,80000,East,Lebanon,Oregon
11085,Emily,NULL,Johnson,19/7/1961,S,F,emily1@adventure-works.com,60000,East,Newport Beach,California
11086,Ryan,NULL,Brown,23/12/1961,M,M,ryan43@adventure-works.com,70000,South,Santa Monica,California
11087,Tamara,L,Liang,3/10/1961,M,F,tamara6@adventure-works.com,70000,West,Chula Vista,California
11088,Hunter,NULL,Davis,25/11/1961,M,M,hunter64@adventure-works.com,80000,South,San Diego,California
11089,Abigail,M,Price,5/2/1961,S,F,abigail25@adventure-works.com,80000,East,Long Beach,California
11090,Trevor,NULL,Bryant,17/12/1961,S,M,trevor18@adventure-works.com,90000,South,Los Angeles,California
11091,Dalton,NULL,Perez,4/4/1961,M,M,dalton37@adventure-works.com,90000,West,Haney,British Columbia
11092,Cheryl,A,Diaz,6/5/1971,M,F,cheryl4@adventure-works.com,90000,East,East Brisbane,Queensland
11093,Aimee,A,He,10/9/1971,M,F,aimee13@adventure-works.com,100000,East,Wollongong,New South Wales
11094,Cedric,W,Ma,1/4/1966,S,M,cedric15@adventure-works.com,70000,South,Cranbourne,Victoria
11095,Chad,NULL,Kumar,1/9/1966,S,M,chad9@adventure-works.com,70000,West,Port Macquarie,New South Wales
11096,Andrés,NULL,Anand,10/8/1966,M,M,andrés18@adventure-works.com,60000,South,North Sydney,New South Wales
11097,Edwin,R,Nara,27/10/1965,M,M,edwin39@adventure-works.com,60000,East,Warrnambool,Victoria
11098,Mallory,S,Rubio,1/5/1965,S,F,mallory7@adventure-works.com,60000,South,Rhodes,New South Wales
11099,Adam,NULL,Ross,8/3/1965,M,M,adam2@adventure-works.com,60000,West,Port Macquarie,New South Wales
11100,Latasha,L,Navarro,15/9/1964,S,F,latasha10@adventure-works.com,60000,East,Cloverdale,South Australia
11101,Abby,L,Sai,8/5/1969,S,F,abby4@adventure-works.com,70000,East,Cranbourne,Victoria
11102,Julia,L,Nelson,21/4/1969,S,F,julia7@adventure-works.com,80000,South,Sydney,New South Wales
11103,Cassie,NULL,Chande,17/10/1968,S,F,cassie13@adventure-works.com,70000,West,Darlinghurst,New South Wales
11104,Edgar,A,Sara,11/3/1968,M,M,edgar11@adventure-works.com,70000,South,Gold Coast,Queensland
11105,Candace,NULL,Fernandez,28/12/1968,S,F,candace15@adventure-works.com,70000,East,Matraville,New South Wales
11106,Jessie,NULL,Liu,11/9/1968,S,M,jessie9@adventure-works.com,70000,South,Warrnambool,Victoria
11107,Bianca,NULL,Lin,9/9/1963,M,F,bianca7@adventure-works.com,90000,West,St. Leonards,New South Wales
11108,Kari,C,Alvarez,14/7/1967,S,F,kari25@adventure-works.com,70000,East,Port Macquarie,New South Wales
11109,Ruben,D,Kapoor,5/11/1967,S,M,ruben1@adventure-works.com,70000,East,South Melbourne,Victoria
11110,Curtis,NULL,Yang,6/6/1966,M,M,curtis5@adventure-works.com,60000,South,Darlinghurst,New South Wales
11111,Meredith,T,Gutierrez,23/2/1966,M,F,meredith34@adventure-works.com,60000,West,Geelong,Victoria
11112,Crystal,C,Wang,9/9/1966,M,F,crystal3@adventure-works.com,60000,South,Hervey Bay,Queensland
11113,Micheal,A,Blanco,21/2/1966,M,M,micheal11@adventure-works.com,70000,East,Perth,South Australia
11114,Leslie,C,Moreno,28/5/1966,S,F,leslie7@adventure-works.com,70000,South,Rhodes,New South Wales
11115,Alvin,D,Cai,12/2/1966,M,M,alvin20@adventure-works.com,70000,West,St. Leonards,New South Wales
11116,Clinton,E,Carlson,7/10/1966,M,M,clinton14@adventure-works.com,70000,East,Sydney,New South Wales
11117,April,NULL,Deng,21/2/1965,M,F,april1@adventure-works.com,70000,East,Matraville,New South Wales
11118,Alvin,M,Zeng,3/7/1961,S,M,alvin21@adventure-works.com,80000,South,Lavender Bay,New South Wales
11119,Evan,V,James,10/4/1939,S,M,evan8@adventure-works.com,30000,West,Port Macquarie,New South Wales
11120,Beth,H,Jiménez,9/8/1940,S,F,beth8@adventure-works.com,40000,South,Sydney,New South Wales
11121,Orlando,NULL,Suarez,18/11/1964,M,M,orlando19@adventure-works.com,70000,East,Newcastle,New South Wales
11122,Byron,NULL,Vazquez,2/4/1964,M,M,byron9@adventure-works.com,70000,South,North Sydney,New South Wales
11123,Philip,A,Alvarez,20/6/1964,M,M,philip4@adventure-works.com,70000,West,Sunbury,Victoria
11124,Ross,F,Jordan,27/7/1961,S,M,ross1@adventure-works.com,80000,East,Warrnambool,Victoria
11125,Dana,J,Navarro,8/4/1960,S,F,dana2@adventure-works.com,70000,East,Seaford,Victoria
11126,Shaun,NULL,Carson,7/4/1953,M,M,shaun16@adventure-works.com,10000,South,North Ryde,New South Wales
11127,Jan,NULL,Edwards,21/10/1979,M,F,jan11@adventure-works.com,40000,West,San Gabriel,California
11128,Samantha,NULL,Long,5/12/1979,M,F,samantha35@adventure-works.com,40000,South,Renton,Washington
11129,Julia,M,Wright,5/8/1979,S,F,julia17@adventure-works.com,40000,East,Sedro Woolley,Washington
11130,Caroline,L,Russell,6/1/1984,M,F,caroline21@adventure-works.com,30000,South,Lebanon,Oregon
11131,Amanda,NULL,Rivera,12/3/1984,M,F,amanda7@adventure-works.com,30000,West,Haney,British Columbia
11132,Melissa,E,Richardson,26/10/1984,S,F,melissa31@adventure-works.com,30000,East,Langford,British Columbia
11133,Angela,NULL,Griffin,8/9/1984,S,F,angela23@adventure-works.com,30000,East,Lake Oswego,Oregon
11134,Larry,D,Townsend,26/2/1950,S,M,larry14@adventure-works.com,10000,South,Perth,South Australia
11135,Marcus,L,Harris,3/11/1983,S,M,marcus14@adventure-works.com,30000,West,Burlingame,California
11136,Brianna,D,Morgan,26/10/1982,S,F,brianna30@adventure-works.com,40000,South,Metchosin,British Columbia
11137,Jasmine,A,Taylor,20/7/1982,M,F,jasmine7@adventure-works.com,40000,East,Spokane,Washington
11138,Lauren,NULL,Davis,15/9/1982,M,F,lauren23@adventure-works.com,40000,South,Glendale,California
11139,Tanya,NULL,Moreno,9/11/1942,S,F,tanya2@adventure-works.com,30000,West,Cloverdale,South Australia
11140,Javier,L,Alvarez,11/2/1981,S,M,javier1@adventure-works.com,30000,East,Burbank,California
11141,Nicole,NULL,Ramirez,21/6/1981,M,F,nicole42@adventure-works.com,40000,East,Daly City,California
11142,Eduardo,NULL,Patterson,14/8/1981,S,M,eduardo55@adventure-works.com,40000,South,Langford,British Columbia
11143,Jonathan,M,Henderson,4/2/1981,M,M,jonathan4@adventure-works.com,40000,West,Lakewood,California
11144,Edward,NULL,Hernandez,9/9/1983,S,M,edward48@adventure-works.com,40000,South,Ballard,Washington
11145,Jasmine,L,Coleman,8/12/1983,S,F,jasmine46@adventure-works.com,40000,East,Beaverton,Oregon
11146,Karla,L,Goel,26/8/1943,S,F,karla20@adventure-works.com,40000,South,Matraville,New South Wales
11147,Ernest,L,Wu,5/2/1943,M,M,ernest6@adventure-works.com,60000,West,Warrnambool,Victoria
11148,Ross,NULL,Vazquez,16/8/1945,M,M,ross32@adventure-works.com,40000,East,East Brisbane,Queensland
11149,Theodore,NULL,Gill,20/4/1945,M,M,theodore14@adventure-works.com,40000,East,Hervey Bay,Queensland
11150,Russell,M,Shen,15/3/1945,S,M,russell6@adventure-works.com,40000,South,Sunbury,Victoria
11151,Melinda,G,Gill,25/2/1946,S,F,melinda9@adventure-works.com,60000,West,Sydney,New South Wales
11152,James,J,Williams,10/1/1980,S,M,james77@adventure-works.com,40000,South,Puyallup,Washington
11153,Angela,R,James,23/6/1980,M,F,angela34@adventure-works.com,40000,East,Renton,Washington
11154,Megan,G,Walker,21/8/1980,S,F,megan25@adventure-works.com,40000,South,Woodburn,Oregon
11155,Hunter,J,Robinson,26/1/1980,S,M,hunter50@adventure-works.com,40000,West,Burbank,California
11156,Maria,NULL,Roberts,7/2/1980,S,F,maria47@adventure-works.com,40000,East,Lakewood,California
11157,Hannah,E,Long,11/6/1979,M,F,hannah32@adventure-works.com,40000,East,Tacoma,Washington
11158,Jason,K,Wright,8/10/1979,S,M,jason46@adventure-works.com,40000,South,San Gabriel,California
11159,Brianna,A,Hughes,17/9/1979,S,F,brianna57@adventure-works.com,40000,West,Woodland Hills,California
11160,Maurice,M,Tang,8/1/1978,S,M,maurice4@adventure-works.com,40000,South,Concord,California
11161,Emily,NULL,Wood,22/4/1978,S,F,emily27@adventure-works.com,40000,East,Concord,California
11162,Chase,NULL,Cox,5/3/1978,S,M,chase10@adventure-works.com,40000,South,La Jolla,California
11163,Gabriel,NULL,Wang,20/12/1978,M,M,gabriel21@adventure-works.com,40000,West,Spring Valley,California
11164,Devin,NULL,Brooks,5/5/1978,S,M,devin63@adventure-works.com,40000,East,Torrance,California
11165,Jocelyn,NULL,Alexander,18/7/1977,M,F,jocelyn18@adventure-works.com,60000,East,Oakland,California
11166,Ashley,NULL,Martinez,24/4/1976,S,F,ashley18@adventure-works.com,70000,South,Olympia,Washington
11167,Jasmine,J,Barnes,1/8/1976,S,F,jasmine43@adventure-works.com,80000,West,Issaquah,Washington
11168,David,NULL,Rodriguez,15/5/1972,S,M,david83@adventure-works.com,80000,South,Oakland,California
11169,Bryce,NULL,Richardson,22/6/1972,M,M,bryce8@adventure-works.com,90000,East,Coronado,California
11170,Carol,T,Howard,5/2/1972,M,F,carol5@adventure-works.com,90000,South,Burien,Washington
11171,Jonathan,E,Hill,9/10/1971,S,M,jonathan43@adventure-works.com,100000,West,Woodland Hills,California
11172,Gabrielle,J,Adams,21/11/1971,M,F,gabrielle58@adventure-works.com,100000,East,Lynnwood,Washington
11173,Sarah,F,Thomas,1/9/1971,S,F,sarah13@adventure-works.com,110000,East,W. Linn,Oregon
11174,Nicholas,NULL,Robinson,13/7/1971,M,M,nicholas19@adventure-works.com,110000,South,Los Angeles,California
11175,Luis,NULL,Wang,5/3/1967,S,M,luis24@adventure-works.com,70000,West,Beverly Hills,California
11176,Mason,D,Roberts,25/1/1972,M,M,mason25@adventure-works.com,90000,South,Haney,British Columbia
11177,Jose,M,Flores,4/7/1946,M,M,jose6@adventure-works.com,110000,East,San Diego,California
11178,Nathan,J,Johnson,24/8/1947,M,M,nathan55@adventure-works.com,100000,South,Lakewood,California
11179,Molly,E,Rodriguez,14/6/1947,M,F,molly18@adventure-works.com,120000,West,Beverly Hills,California
11180,April,NULL,Anand,2/1/1947,M,F,april18@adventure-works.com,160000,East,Chula Vista,California
11181,Devin,P,Martin,8/8/1947,M,M,devin13@adventure-works.com,170000,East,Los Angeles,California
11182,Stephanie,NULL,Torres,25/8/1948,S,F,stephanie19@adventure-works.com,70000,South,Sedro Woolley,Washington
11183,Jasmine,W,Lee,15/7/1948,S,F,jasmine19@adventure-works.com,70000,West,Santa Cruz,California
11184,Meghan,NULL,Hernandez,16/11/1948,S,F,meghan3@adventure-works.com,70000,South,Concord,California
11185,Ashley,NULL,Henderson,8/10/1948,S,F,ashley31@adventure-works.com,70000,East,Metchosin,British Columbia
11186,Sarah,C,Price,21/5/1948,S,F,sarah25@adventure-works.com,70000,South,Palo Alto,California
11187,Jennifer,S,Cooper,22/2/1948,M,F,jennifer63@adventure-works.com,60000,West,Burien,Washington
11188,Catherine,NULL,Morris,6/9/1948,M,F,catherine16@adventure-works.com,60000,East,San Gabriel,California
11189,Lawrence,W,Blanco,15/7/1948,S,M,lawrence14@adventure-works.com,60000,East,Bellingham,Washington
11190,Carson,NULL,Bryant,22/6/1948,M,M,carson17@adventure-works.com,70000,South,Beverly Hills,California
11191,Kristi,E,Perez,18/12/1949,S,F,kristi39@adventure-works.com,70000,West,Colma,California
11192,James,C,Brown,13/9/1949,M,M,james79@adventure-works.com,60000,South,Seattle,Washington
11193,Ian,A,Gray,13/2/1949,M,M,ian72@adventure-works.com,60000,East,Woodburn,Oregon
11194,Jacqueline,R,Price,10/6/1949,M,F,jacqueline0@adventure-works.com,60000,South,Palo Alto,California
11195,Megan,NULL,Henderson,10/2/1950,M,F,megan55@adventure-works.com,60000,West,Renton,Washington
11196,Alfredo,NULL,Romero,7/6/1950,M,M,alfredo10@adventure-works.com,60000,East,Beaverton,Oregon
11197,Andrea,NULL,Morris,18/6/1950,M,F,andrea18@adventure-works.com,70000,East,Seattle,Washington
11198,Brooke,NULL,Sanders,26/11/1950,S,F,brooke3@adventure-works.com,70000,South,Santa Cruz,California
11199,Jacqueline,NULL,Bennett,6/11/1950,M,F,jacqueline1@adventure-works.com,70000,West,Burlingame,California
11200,Jason,L,Griffin,22/11/1951,M,M,jason18@adventure-works.com,70000,South,Victoria,British Columbia
11201,Amanda,NULL,Foster,18/8/1951,M,F,amanda37@adventure-works.com,70000,East,Santa Monica,California
11202,Alexia,L,Price,26/8/1951,M,F,alexia0@adventure-works.com,80000,South,Lakewood,California
11203,Luis,D,Diaz,21/8/1952,M,M,luis21@adventure-works.com,40000,West,Port Hammond,British Columbia
11204,Destiny,C,Rivera,1/6/1952,M,F,destiny33@adventure-works.com,40000,East,Beaverton,Oregon
11205,Abby,NULL,Fernandez,24/7/1952,M,F,abby13@adventure-works.com,40000,East,Burien,Washington
11206,Blake,NULL,Flores,24/9/1952,M,M,blake60@adventure-works.com,60000,South,Lynnwood,Washington
11207,Danielle,NULL,Cox,19/7/1952,S,F,danielle12@adventure-works.com,60000,West,Renton,Washington
11208,Maria,NULL,Reed,4/2/1952,M,F,maria4@adventure-works.com,60000,South,Glendale,California
11209,Allison,NULL,Evans,13/1/1952,M,F,allison21@adventure-works.com,60000,East,Lincoln Acres,California
11210,Edward,J,Wood,8/6/1952,M,M,edward50@adventure-works.com,70000,South,West Covina,California
11211,Samantha,NULL,Russell,12/10/1953,M,F,samantha42@adventure-works.com,40000,West,Haney,British Columbia
11212,Chloe,NULL,Campbell,5/11/1953,M,F,chloe4@adventure-works.com,40000,East,Metchosin,British Columbia
11213,Stephanie,B,Murphy,14/5/1953,S,F,stephanie11@adventure-works.com,60000,East,Edmonds,Washington
11214,Charles,O,Miller,7/11/1953,S,M,charles9@adventure-works.com,60000,South,Milwaukie,Oregon
11215,Ana,NULL,Perry,21/6/1954,M,F,ana7@adventure-works.com,40000,West,Royal Oak,British Columbia
11216,Jasmine,A,Torres,20/5/1954,S,F,jasmine32@adventure-works.com,60000,South,Portland,Oregon
11217,Natalie,P,Adams,11/2/1954,S,F,natalie58@adventure-works.com,60000,East,Portland,Oregon
11218,Olivia,NULL,Brown,11/9/1954,S,F,olivia4@adventure-works.com,60000,South,Tacoma,Washington
11219,Charles,NULL,Cook,2/12/1954,M,M,charles69@adventure-works.com,60000,West,Woodburn,Oregon
11220,Erica,C,Huang,23/2/1954,M,F,erica5@adventure-works.com,60000,East,Colma,California
11221,Nathan,NULL,Perry,10/6/1954,M,M,nathan3@adventure-works.com,70000,East,Lakewood,California
11222,Alexandra,NULL,Rivera,17/8/1954,M,F,alexandra11@adventure-works.com,80000,South,Santa Monica,California
11223,Hailey,I,Patterson,16/9/1955,S,F,hailey30@adventure-works.com,70000,West,Langley,British Columbia
11224,Tiffany,J,Li,6/9/1955,S,F,tiffany3@adventure-works.com,70000,South,Burien,Washington
11225,Madison,D,Lee,16/2/1955,M,F,madison22@adventure-works.com,60000,East,Renton,Washington
11226,Sydney,T,Ross,27/9/1955,M,F,sydney26@adventure-works.com,60000,South,W. Linn,Oregon
11227,Marshall,D,Chavez,12/8/1955,S,M,marshall35@adventure-works.com,60000,West,Colma,California
11228,Ashley,R,Jones,19/4/1955,M,F,ashley3@adventure-works.com,60000,East,El Cajon,California
11229,Adrian,C,Stewart,3/12/1955,S,M,adrian21@adventure-works.com,70000,East,Redwood City,California
11230,Amber,NULL,Turner,3/4/1955,M,F,amber4@adventure-works.com,70000,South,Santa Monica,California
11231,Dennis,NULL,Zhang,14/11/1956,M,M,dennis1@adventure-works.com,60000,West,Bremerton,Washington
11232,Hailey,R,Bryant,27/9/1956,M,F,hailey38@adventure-works.com,60000,South,Everett,Washington
11233,Todd,NULL,Li,9/9/1956,M,M,todd5@adventure-works.com,70000,East,Berkeley,California
11234,Anna,NULL,Griffin,19/11/1956,S,F,anna46@adventure-works.com,70000,South,Long Beach,California
11235,Angel,J,Stewart,8/2/1956,M,M,angel24@adventure-works.com,70000,West,Ballard,Washington
11236,Jeremy,NULL,Butler,5/3/1956,S,M,jeremy29@adventure-works.com,70000,East,Bellingham,Washington
11237,Clarence,M,Anand,23/9/1962,S,M,clarence36@adventure-works.com,130000,East,Solingen,Nordrhein-Westfalen
11238,Mayra,NULL,Prasad,10/8/1962,S,F,mayra9@adventure-works.com,130000,South,Birmingham,England
11239,Latoya,C,Goel,6/10/1962,M,F,latoya18@adventure-works.com,130000,West,London,England
11240,Anne,B,Hernandez,11/12/1962,M,F,anne4@adventure-works.com,160000,South,Watford,England
11241,Lisa,NULL,Cai,11/10/1961,S,F,lisa24@adventure-works.com,100000,East,Les Ulis,Essonne
11242,Larry,NULL,Munoz,11/11/1961,M,M,larry9@adventure-works.com,110000,South,Versailles,Yveline
11243,Robin,V,Alvarez,9/10/1961,M,F,robin2@adventure-works.com,150000,West,Esher-Molesey,England
11244,Alexis,M,Coleman,26/11/1961,S,F,alexis28@adventure-works.com,170000,East,Runcorn,England
11245,Ricky,D,Vazquez,27/10/1960,M,M,ricky15@adventure-works.com,120000,East,Hamburg,Hessen
11246,Latasha,NULL,Rubio,9/10/1960,M,F,latasha21@adventure-works.com,120000,South,Hamburg,Hamburg
11247,Claudia,M,Zhou,6/6/1960,S,F,claudia7@adventure-works.com,130000,West,Lancaster,England
11248,Tristan,P,Alexander,26/3/1959,M,M,tristan19@adventure-works.com,110000,South,Saint-Denis,Seine Saint Denis
11249,Cindy,A,Patel,13/7/1959,M,F,cindy3@adventure-works.com,130000,East,Sulzbach Taunus,Saarland
11250,Shannon,D,Liu,12/3/1959,M,F,shannon4@adventure-works.com,170000,South,Woolston,England
11251,Xavier,NULL,Long,4/7/1936,S,M,xavier51@adventure-works.com,30000,West,Haney,British Columbia
11252,Nicholas,D,Thompson,7/6/1936,S,M,nicholas16@adventure-works.com,90000,East,Lemon Grove,California
11253,José,M,Hernandez,28/2/1937,M,M,josé54@adventure-works.com,60000,East,Victoria,British Columbia
11254,Johnathan,W,Vance,3/3/1937,M,M,johnathan5@adventure-works.com,70000,South,Burien,Washington
11255,Colin,NULL,Lin,4/4/1937,M,M,colin8@adventure-works.com,70000,West,Burien,Washington
